C_ANT,C_VIG,C_MAD,C_NMAD,C_REG,NOM_REG,C_DEPEND,DEPEN,PERTEN,TIPO,AMBITO,URGENCIA,CERTIFICA,DEPEN_A,NIVEL,NOMBRE,C_COM,NOM_COM,VIA,NUMERO,DIRECCION,FONO,F_INICIO,F_REAPER,SAPU,F_CAMBIO,TIPO_CAMB,LATITUD,LONGITUD,PRESTADOR,ESTADO,NIVEL_COM,MODALIDAD
10-110,110110,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Instituto Traumatológico Dr. Teodoro Gebauer,13101,Santiago,Avenida,771,San Martin,225746150,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.434891,-70.658236,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
10-120,110120,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",13126,Quinta Normal,Calle,2655,Leoncio Fernández ,225744400,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.415057,-70.696103,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
10-130,110130,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital Adalberto Steeger (Talagante),13601,Talagante,Calle,1458,Balmaceda,225744252,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.66801,-70.920339,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
10-140,110140,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Servicio de Salud,Terciario,Hospital de Peñaflor,13605,Peñaflor,Calle,214,José Miguel Carrera,225742500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.61001,-70.904125,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
10-150,110150,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San José (Melipilla),13501,Melipilla,Calle,551,O'Higgins,225745555,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.69526,-71.214668,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
10-160,110160,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Curacaví,13503,Curacaví,Avenida,500,Ambrosio O'Higgins,225745400,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.4095,-71.145664,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
11-100,111100,No Aplica,No Aplica,13,Región Metropolitana de Santiago,11,Servicio de Salud Metropolitano Central,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Clínico San Borja Arriarán,13101,Santiago,Calle,1234,Santa Rosa,225749000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.460498,-70.64232,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
11-101,111101,No Aplica,No Aplica,13,Región Metropolitana de Santiago,11,Servicio de Salud Metropolitano Central,Perteneciente,Hospital ,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,13119,Maipú,Calle,1201,"Camino a Rinconada, Avenida El Olimpo",226120491-226120256,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.508212,-70.774248,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
11-195,111195,No Aplica,No Aplica,13,Región Metropolitana de Santiago,11,Servicio de Salud Metropolitano Central,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,13101,Santiago,Avenida,125,Portugal ,224681100,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.444004,-70.637955,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
11-200,111200,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Delegados ,Terciario,Hospital Clínico Red de Salud UC CHRISTUS,13101,Santiago,Calle,367,Marcoleta,223543103,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.442233,-70.640349,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
11-202,111202,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital Clínico Mutual de Seguridad C.CH.C.,13106,Estación Central,Avenida,4848,Libertador Bernardo O'Higgins,227794778,39814,No Aplica,No Aplica,No Aplica,Modificación planta física Hospital,-33.45676,-70.700784,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
11-203,111203,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Gendamería,Terciario,Hospital Penitenciario,13101,Santiago,Avenida,1902,Pedro Montt,225544018,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.473594,-70.660323,Gendarmería,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
11-205,111205,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital Clínico Instituto de Seguridad del Trabajo de Santaigo,13101,Santiago,Calle,1410,Placer,228107800,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.475925,-70.651674,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-100,112100,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Del Salvador de Santiago,13123,Providencia,Avenida,364,Salvador ,225754000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.43664,-70.624493,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-101,112101,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",13122,Peñalolén,Avenida,5150,Las Torres ,224725200,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.501328,-70.579408,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-102,112102,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital de Niños Dr. Luis Calvo Mackenna,13123,Providencia,Avenida,360,Antonio Varas,225755800,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.430592,-70.615846,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-103,112103,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,NO,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,13123,Providencia,Calle,717,José Manuel Infante,225755000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.437988,-70.621882,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-104,112104,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Instituto de Neurocirugía Dr. Alfonso Asenjo,13123,Providencia,Avenida,553,José M. Infante ,225754600,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.436888,-70.622448,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-105,112105,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,NO,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,13122,Peñalolén,Avenida,5969,José Arrieta ,225754350,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.460454,-70.569892,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-106,112106,No Aplica,No Aplica,13,Región Metropolitana de Santiago,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,NO,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva,13123,Providencia,Calle,370,José Manuel Infante ,225754459,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.434825,-70.622227,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-107,112107,No Aplica,No Aplica,5,Región De Valparaíso,12,Servicio de Salud Metropolitano Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Hanga Roa (Isla De Pascua),5201,Isla de Pascua,Calle,S/N,Simón Paoa ,322578361,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-27.150245,-109.421012,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
12-238,112238,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Fuerzas Armadas y de Orden (FFAA),Terciario,Hospital FACH,13114,Las Condes,Avenida,8631,Las Condes,227826000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.395327,-70.548074,Fuerzas Armadas y de Orden,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-240,112240,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Fuerzas Armadas y de Orden (FFAA),Terciario,Hospital Carabineros,13120,Ñuñoa,Calle,2200,Simón Bolívar,228700000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.450658,-70.608463,Fuerzas Armadas y de Orden,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-244,112244,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital del Trabajador Santiago,13123,Providencia,Calle,185,Ramón Carnicer,226853333,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.443625,-70.632551,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-248,112248,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Fuerzas Armadas y de Orden (FFAA),Terciario,Hospital Dipreca Teniente Hernán Merino,13114,Las Condes,Calle,1200,Vital Apoquindo,222401282,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.418694,-70.529475,Fuerzas Armadas y de Orden,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
12-530,112530,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Fuerzas Armadas y de Orden (FFAA),Terciario,Hospital Militar de Santiago,13113,La Reina,Avenida,9100,Larraín,223653000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.45281,-70.56351,Fuerzas Armadas y de Orden,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
13-100,113100,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",13130,San Miguel,Avenida,3204,Gran Avenida José Miguel Carrera,225763700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.485147,-70.644439,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
13-130,113130,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",13130,San Miguel,Avenida,3300,Gran Avenida José Miguel Carrera,225765700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.484761,-70.648129,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
13-150,113150,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Servicio de Salud,Terciario,Hospital San Luis (Buin),13402,Buin,Calle,240,Arturo Prat,225765800,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.734263,-70.739547,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
13-160,113160,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Servicio de Salud,Terciario,"Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel)",13130,San Miguel,Avenida,3204,Gran Avenida José Miguel Carrera ,225763700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.485344,-70.645169,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
13-170,113170,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Servicio de Salud,Terciario,"Hospital Psiquiátrico El Peral (Santiago, Puente Alto)",13201,Puente Alto,Calle,2451,Camilo Henríquez ,225766500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.579233,-70.551417,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
13-180,113180,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital El Pino (Santiago, San Bernardo)",13401,San Bernardo,Avenida,13560,Padre Hurtado ,225767600,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.58435,-70.676793,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
13-190,113190,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,Servicio de Salud Metropolitano Sur,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Delegados ,Terciario,Hospital Parroquial de San Bernardo (D),13401,San Bernardo,Calle,4,Libertador Bernardo O'Higgins ,223732500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.592835,-70.697393,Pendiente,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
14-101,114101,No Aplica,No Aplica,13,Región Metropolitana de Santiago,14,Servicio de Salud Metropolitano Sur Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",13201,Puente Alto,Avenida,3459,Concha y Toro,223536000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.577251,-70.581781,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
14-102,114102,No Aplica,No Aplica,13,Región Metropolitana de Santiago,14,Servicio de Salud Metropolitano Sur Oriente,Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Servicio de Salud,Terciario,Hospital San José de Maipo,13203,San José de Maipo,Avenida,19856,Comercio ,225762700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.641256,-70.352299,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
14-103,114103,No Aplica,No Aplica,13,Región Metropolitana de Santiago,14,Servicio de Salud Metropolitano Sur Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital Padre Alberto Hurtado (San Ramón),13131,San Ramón,Calle,2150,Esperanza ,225760600,36108,No Aplica,No Aplica,No Aplica,Sin cambio,-33.5525,-70.635024,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
14-104,114104,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital ,Establecimiento de Salud,NO,NO,Servicio de Salud,Terciario,Hospital Metropolitano (Ex Militar),13123,Providencia,Calle,50,Holanda ,Pendiente ,Sin dato,No Aplica,No Aplica,No Aplica,Se reabre por contingencia Covid-19 Abril 2020,-33.418942,-70.605168,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
14-105,114105,No Aplica,No Aplica,13,Región Metropolitana de Santiago,14,Servicio de Salud Metropolitano Sur Oriente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,13110,La Florida,Calle,6542,Froilan Roa,225681880,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.514161,-70.599148,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
14-204,114204,No Aplica,No Aplica,13,Región Metropolitana de Santiago,14,Servicio de Salud Metropolitano Sur Oriente,Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Delegados ,Terciario,Centro de Enfermedades Respiratorias Infantiles Josefina Martínez (D),13201,Puente Alto,Avenida,3691,Camilo Henríquez ,227209000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.569382,-70.554425,Pendiente,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
15-100,115100,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Regional de Rancagua,6101,Rancagua,Calle,611,Alameda,722728157,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.164489,-70.741937,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
15-101,115101,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Santa Filomena de Graneros,6106,Graneros,Avenida,550,Compañía ,722337600,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.06706,-70.730862,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-102,115102,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Coínco,6103,Coinco,Calle,157,Francisco Díaz Muñoz,722337550,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.268594,-70.953919,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-103,115103,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Del Salvador de Peumo,6112,Peumo,Calle,20,San Juan de Dios ,722336920,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.389587,-71.173054,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-104,115104,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Servicio de Salud,Terciario,Hospital Dr. Ricardo Valenzuela Sáez (Rengo),6115,Rengo,Avenida,210,Renato Correa Labra,722337317,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.411325,-70.853259,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
15-105,115105,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Vicente de Tagua -Tagua,6117,San Vicente,Calle,1100,Juan Bautista Pastene ,722336300,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.441101,-71.080619,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-106,115106,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Pichidegua,6113,Pichidegua,Calle,160,O'Higgins,722337000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.359248,-71.28325,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-107,115107,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San Juan de Dios de San Fernando,6301,San Fernando,Calle,1401,Negrete,722335100,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.575908,-70.992563,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
15-108,115108,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Mercedes de Chimbarongo,6303,Chimbarongo,Calle,990,Miraflores ,722337940,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.702511,-71.036639,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-109,115109,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Nancagua,6305,Nancagua,Calle,464,18 de Septiembre ,722337500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.649785,-71.204874,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-110,115110,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Servicio de Salud,Terciario,Hospital de Santa Cruz,6310,Santa Cruz,Avenida,921,Federico Errázuriz ,722332273,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.634422,-71.35723,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
15-111,115111,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Marchigüe,6204,Marchihue,Calle,410,Laureano Cornejo,722336850,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.39882,-71.61712,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-112,115112,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Pichilemu,6201,Pichilemu,Calle,151,Errázuriz,722336600,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.386509,-72.013232,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-113,115113,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Lolol,6304,Lolol,Calle,35,Los Alerces ,722337800,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.728217,-71.646665,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-114,115114,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,15,Servicio de Salud Del Libertador B.O'Higgins,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Litueche,6203,Litueche,Calle,728,Cardenal Caro ,722337050,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.115513,-71.729399,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
15-202,115202,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,6,SEREMI Del Libertador Gral. B. O'Higgins,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Privado,Terciario,Hospital del Trabajador AChS,6101,Rancagua,Avenida,317,Libertador Bernardo O'Higgins,722205500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.166707,-70.729041,Privado,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
15-206,115206,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,6,SEREMI Del Libertador Gral. B. O'Higgins,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital Clínico Fusat Rancagua,6101,Rancagua,Calle,1002,Carretera del Cobre,722205300,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.18893,-70.71316,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
15-241,115241,No Aplica,No Aplica,6,Región Del Libertador Gral. B. O'Higgins,6,SEREMI Del Libertador Gral. B. O'Higgins,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Gendamería,Terciario,Hospital Penitenciario de Rancagua,6101,Rancagua,Calle,S/N,La Gonzalina,722326649,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-34.13996,-70.77798,Gendarmería,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
